record_id,dataset_partition,recommended_split,data_source,synthetic_method,grade_band,age_range,unit_family,unit_label,session_index,session_title,session_type,task_family,prompt_text,learner_response,artifact_summary,teacher_observation,peer_feedback,checkpoint_result,proof_of_work_present,proof_of_work_type,ai_used,ai_mode,ai_prompt,ai_suggestion_summary,learner_change_summary,confidence_self_rating,mastery,evidence_use,metacognition,independence,integrity_risk,safety_awareness,collaboration_signal,needs_followup,source_weight,eligible_for_training,eligible_for_eval,curriculum_anchor,scenario_tag,challenge_pattern,qc_pass,qc_notes
cha_13_00001,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I let someone try it and I watched what happened. my friend tried it once and said the handle was too small.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Maybe make the handle bigger.,not_yet,False,missing_or_thin,False,none,,,,4,novice,weak,strong,low,high,developing,strong,True,0.1,False,True,portfolio_artifact,share_out,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00002,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"Drawing sequence, voice reflection clip, and a simple prototype for pencils roll off desks.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Maybe make the handle bigger.,pass_with_support,True,drawing_or_photo,True,teacher_led,Help us think of three ways to stop pencils from rolling off a desk.,"Suggested a raised edge, a tray, and a clip.",Teacher and students chose the tray idea and changed the size after testing.,2,developing,developing,weak,medium,medium,developing,strong,True,0.1,False,True,retrieval_explain_back,authentic_build,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00003,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a one labeled photo and a voice reflection clip. They show what I made and how I tested it.,"One labeled photo, voice reflection clip, and a simple prototype for library books are hard to carry.","Student answered quickly and confidently, but the reasoning skipped key checks.",Maybe make the handle bigger.,pass_with_support,True,drawing_or_photo,False,none,,,,4,novice,weak,strong,high,medium,developing,strong,True,0.1,False,True,reflection_next_step,authentic_build,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00004,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,artifact,show_and_tell,"Say what you made, who it helps, and why.",I made something for the garden team. It helps with plants do not get watered on weekends.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student used feedback after a peer test.,Try a stronger tape next time.,not_yet,False,missing,False,none,,,,1,developing,developing,strong,high,high,developing,strong,True,0.1,False,True,reflection_next_step,feedback_iteration,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00005,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,2,Plan an Idea,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Tester smile/frown note, teacher checklist note, and a simple prototype for jackets fall off hooks.","Artifact quality was strong, but the reflection did not explain what changed or why.",Can you show where the problem happens?,pass_with_support,True,drawing_or_photo,False,none,,,,4,advanced,strong,weak,high,low,developing,developing,True,0.1,False,True,checkpoint_show_work,feedback_iteration,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
cha_13_00006,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",retrieval,problem_identification,What problem are you trying to solve and who does it help?,The problem is headphones get tangled. It helps listeners. I want to make it easier.,"Referenced an artifact verbally, but no matching proof-of-work was shown.","Response sounded polished but the student could not show the supporting note, artifact, or test evidence.",Maybe make the handle bigger.,not_yet,False,missing_or_thin,False,none,,,,4,developing,weak,weak,low,high,weak,developing,True,0.1,False,True,checkpoint_show_work,share_out,polished_answer_no_evidence,True,Challenge case: polished_answer_no_evidence
cha_13_00007,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I tested it by asking one classmate to try it and the plant marker stayed up after we watered the soil. That helped me see what to change.,"Voice reflection clip, tester smile/frown note, and a simple prototype for headphones get tangled.",Student arrived at a plausible output but could not explain why that choice followed from the evidence.,Try a stronger tape next time.,pass_with_support,True,drawing_or_photo,False,none,,,,2,developing,developing,weak,medium,medium,developing,strong,True,0.1,False,True,checkpoint_show_work,feedback_iteration,correct_output_weak_explanation,True,Challenge case: correct_output_weak_explanation
cha_13_00008,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,reflection,improvement_reflection,"What worked, and what will you change next time?",What worked was the main idea. Next time I will make one part bigger because the cup holder kept the bottle from rolling away.,"Prototype sketch, drawing sequence, and a simple prototype for pencils roll off desks.","Student answered quickly and confidently, but the reasoning skipped key checks.",It looks helpful for younger kids too.,pass_with_support,True,drawing_or_photo,False,none,,,,4,novice,weak,strong,high,medium,developing,developing,True,0.1,False,True,reflection_next_step,share_out,high_confidence_wrong_reasoning,True,Challenge case: high_confidence_wrong_reasoning
cha_13_00009,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a prototype sketch and a teacher checklist note. They show what I made and how I tested it.,"Detailed claims were made, but screenshots, notes, or intermediate work were not available.",Student used feedback after a peer test.,Try a stronger tape next time.,not_yet,False,missing,False,none,,,,4,proficient,strong,strong,high,high,developing,developing,True,0.1,False,True,portfolio_artifact,share_out,no_proof_of_work_but_specific_claims,True,Challenge case: no_proof_of_work_but_specific_claims
cha_13_00010,challenge,challenge,synthetic,integrity_edgecase_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,artifact,show_and_tell,"Say what you made, who it helps, and why.",I made something for kids. It helps with jackets fall off hooks.,"Drawing sequence, one labeled photo, and a simple prototype for jackets fall off hooks.","Artifact quality was strong, but the reflection did not explain what changed or why.",Try a stronger tape next time.,pass_with_support,True,drawing_or_photo,False,none,,,,1,developing,strong,weak,high,low,developing,developing,True,0.1,False,True,retrieval_explain_back,share_out,strong_artifact_weak_reflection,True,Challenge case: strong_artifact_weak_reflection
