record_id,recommended_split,bos_mastery_score_expected,bos_readiness_score_expected,mia_integrity_score_expected,bos_mastery_band_expected,bos_readiness_band_expected,mia_band_expected,mia_review_needed_expected,expected_action,confidence_calibration_gap,rationale_stub
core_L13_01_001_03_01,train,75,65,87,green,amber,green,False,auto_pass,25,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_001_05_02,train,73,70,83,green,amber,green,False,auto_pass,7,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_001_06_03,train,76,70,83,green,amber,green,False,auto_pass,24,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_001_07_04,train,79,70,87,green,amber,green,False,auto_pass,1,mastery=proficient; evidence=strong; integrity=low; proof=True; ai=False
core_L13_01_001_08_05,train,76,70,83,green,amber,green,False,auto_pass,24,mastery=proficient; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_002_01_01,train,48,47,83,red,red,green,False,coach_next_step,-8,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_002_02_02,train,56,59,83,amber,amber,green,False,auto_pass,-16,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_002_03_03,train,56,59,83,amber,amber,green,False,auto_pass,4,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_002_06_04,train,59,59,83,amber,amber,green,False,auto_pass,1,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_002_08_05,train,56,59,83,amber,amber,green,False,auto_pass,24,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_003_01_01,train,50,47,83,amber,red,green,False,coach_next_step,-10,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_003_02_02,train,50,47,83,amber,red,green,False,coach_next_step,-30,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_003_03_03,train,60,63,83,amber,amber,green,False,auto_pass,-20,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_003_06_04,train,50,52,83,amber,amber,green,False,coach_next_step,-10,mastery=novice; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_003_08_05,train,64,68,83,amber,amber,green,False,auto_pass,-24,mastery=developing; evidence=developing; integrity=low; proof=True; ai=True
core_L13_01_004_01_01,train,60,59,83,amber,amber,green,False,auto_pass,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
core_L13_01_004_02_02,train,60,59,83,amber,amber,green,False,auto_pass,0,mastery=developing; evidence=developing; integrity=low; proof=True; ai=False
