ai_trace_id,record_id,learner_id,cohort_id,session_id,grade_band,ai_mode,ai_prompt,ai_suggestion_category,ai_suggestion_summary,learner_change_summary,disclosure_quality,human_verified,trace_ts
AI_core_L13_01_003_08_05,core_L13_01_003_08_05,L13_01_003,C13_01,S_C13_01_08,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-23T08:31:00
AI_core_L13_01_005_02_02,core_L13_01_005_02_02,L13_01_005,C13_01,S_C13_01_02,1-3,teacher_led,Give a few example cases I could test for headphones get tangled.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-02-09T13:40:00
AI_core_L13_01_010_07_04,core_L13_01_010_07_04,L13_01_010,C13_01,S_C13_01_07,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-16T14:22:00
AI_core_L13_01_013_06_04,core_L13_01_013_06_04,L13_01_013,C13_01,S_C13_01_06,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-09T08:39:00
AI_core_L13_01_014_02_02,core_L13_01_014_02_02,L13_01_014,C13_01,S_C13_01_02,1-3,teacher_led,Give me 3 starting ideas for lunch box is hard to open for a younger student in a cafeteria.,generic_support,suggested starter ideas,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-02-09T13:39:00
AI_core_L13_01_016_06_04,core_L13_01_016_06_04,L13_01_016,C13_01,S_C13_01_06,1-3,teacher_led,Give a few example cases I could test for water bottle spills in backpacks.,example_list,suggested additional test examples,I kept the useful idea and changed it to match our own evidence and task.,partial,True,2026-03-09T10:08:00
AI_core_L13_01_019_06_04,core_L13_01_019_06_04,L13_01_019,C13_01,S_C13_01_06,1-3,teacher_led,Give feedback on this idea for plants are forgotten and tell me one thing to improve.,feedback,pointed out one weak part to improve,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-03-09T08:22:00
AI_core_L13_01_020_06_04,core_L13_01_020_06_04,L13_01_020,C13_01,S_C13_01_06,1-3,teacher_led,Give me 3 starting ideas for water bottle spills in backpacks for a student in a classroom.,generic_support,suggested starter ideas,"I used the suggestion as a prompt, then rewrote or rejected parts that did not fit our evidence, constraints, or ethics rules.",complete,True,2026-03-09T08:24:00
AI_core_L13_01_022_05_03,core_L13_01_022_05_03,L13_01_022,C13_01,S_C13_01_05,1-3,teacher_led,Help me say this more clearly without changing the meaning.,wording_help,suggested a clearer sentence structure,I kept the useful idea and changed it to match our own evidence and task.,complete,True,2026-03-02T09:02:00
AI_core_L13_01_024_03_01,core_L13_01_024_03_01,L13_01_024,C13_01,S_C13_01_03,1-3,teacher_led,"My design/checklist is not working on one case. Give a hint, not the full answer.",debug_hint,suggested one debugging step to try,I checked the suggestion against our own notes/tests and only kept the part that matched the evidence.,complete,True,2026-02-16T14:08:00
