aggregate_level,cohort_id,grade_band,unit_family,session_index,session_title,submitted_records,distinct_learners,expected_enrollment,submission_rate,avg_bos_mastery,avg_bos_readiness,avg_mia_integrity,proof_of_work_rate,ai_use_rate,followup_rate,review_needed_rate
cohort_session,C1012_01,10-12,venture_sprint,1,Choose a Problem Worth Solving,39,39,60,0.65,63.1,65.7,81.3,0.923,0.205,0.256,0.154
cohort_session,C1012_01,10-12,venture_sprint,2,Value Proposition + Risks,40,40,60,0.667,63.0,67.6,79.0,0.875,0.15,0.225,0.15
cohort_session,C1012_01,10-12,venture_sprint,3,Prototype + Test Fast,40,40,60,0.667,65.4,68.5,79.1,0.9,0.3,0.225,0.15
cohort_session,C1012_01,10-12,venture_sprint,4,Metrics + Experiments,41,41,60,0.683,66.1,68.1,80.9,0.927,0.171,0.22,0.122
cohort_session,C1012_01,10-12,venture_sprint,5,Business Model Basics,31,31,60,0.517,65.0,67.1,81.3,0.903,0.194,0.258,0.129
cohort_session,C1012_01,10-12,venture_sprint,6,Responsible AI & Trust,37,37,60,0.617,68.4,72.2,81.5,0.919,0.135,0.162,0.108
cohort_session,C1012_01,10-12,venture_sprint,7,Pitch Deck Sprint,36,36,60,0.6,70.8,72.6,84.4,1.0,0.389,0.083,0.028
cohort_session,C1012_01,10-12,venture_sprint,8,Investor Demo Day,36,36,60,0.6,71.9,73.2,83.0,0.972,0.167,0.167,0.111
cohort_session,C1012_02,10-12,venture_sprint,1,Choose a Problem Worth Solving,36,36,60,0.6,65.5,69.6,79.8,0.944,0.25,0.222,0.139
cohort_session,C1012_02,10-12,venture_sprint,2,Value Proposition + Risks,40,40,60,0.667,63.2,68.8,78.6,0.9,0.175,0.25,0.15
cohort_session,C1012_02,10-12,venture_sprint,3,Prototype + Test Fast,37,37,60,0.617,68.5,69.8,81.1,0.892,0.243,0.27,0.243
cohort_session,C1012_02,10-12,venture_sprint,4,Metrics + Experiments,38,38,60,0.633,66.3,70.2,80.3,0.921,0.237,0.184,0.184
cohort_session,C1012_02,10-12,venture_sprint,5,Business Model Basics,39,39,60,0.65,67.2,70.2,81.3,0.949,0.231,0.256,0.128
cohort_session,C1012_02,10-12,venture_sprint,6,Responsible AI & Trust,39,39,60,0.65,71.5,75.0,81.0,0.949,0.282,0.103,0.103
cohort_session,C1012_02,10-12,venture_sprint,7,Pitch Deck Sprint,38,38,60,0.633,72.4,74.2,83.5,0.974,0.263,0.026,0.026
cohort_session,C1012_02,10-12,venture_sprint,8,Investor Demo Day,33,33,60,0.55,73.0,75.2,82.5,0.939,0.121,0.061,0.061
cohort_session,C1012_03,10-12,venture_sprint,1,Choose a Problem Worth Solving,40,40,60,0.667,63.8,67.2,79.7,0.9,0.15,0.175,0.125
cohort_session,C1012_03,10-12,venture_sprint,2,Value Proposition + Risks,34,34,60,0.567,67.9,69.9,79.9,0.912,0.265,0.118,0.118
cohort_session,C1012_03,10-12,venture_sprint,3,Prototype + Test Fast,42,42,60,0.7,67.9,69.9,80.4,0.905,0.143,0.143,0.167
cohort_session,C1012_03,10-12,venture_sprint,4,Metrics + Experiments,43,43,60,0.717,69.7,71.9,82.2,0.93,0.14,0.093,0.093
cohort_session,C1012_03,10-12,venture_sprint,5,Business Model Basics,32,32,60,0.533,66.2,70.6,81.4,0.938,0.156,0.156,0.156
cohort_session,C1012_03,10-12,venture_sprint,6,Responsible AI & Trust,43,43,60,0.717,71.8,74.4,83.4,1.0,0.279,0.023,0.023
cohort_session,C1012_03,10-12,venture_sprint,7,Pitch Deck Sprint,36,36,60,0.6,73.3,74.1,82.2,0.944,0.167,0.056,0.111
cohort_session,C1012_03,10-12,venture_sprint,8,Investor Demo Day,30,30,60,0.5,72.5,74.6,82.6,1.0,0.1,0.067,0.067
cohort_session,C1012_04,10-12,venture_sprint,1,Choose a Problem Worth Solving,37,37,60,0.617,62.3,66.1,80.4,0.865,0.324,0.27,0.162
cohort_session,C1012_04,10-12,venture_sprint,2,Value Proposition + Risks,38,38,60,0.633,64.4,68.2,81.3,0.921,0.263,0.237,0.105
cohort_session,C1012_04,10-12,venture_sprint,3,Prototype + Test Fast,46,46,60,0.767,65.6,68.2,80.2,0.891,0.326,0.217,0.152
cohort_session,C1012_04,10-12,venture_sprint,4,Metrics + Experiments,42,42,60,0.7,65.4,69.3,81.6,0.952,0.31,0.143,0.071
cohort_session,C1012_04,10-12,venture_sprint,5,Business Model Basics,31,31,60,0.517,66.5,68.7,81.3,0.903,0.194,0.194,0.129
cohort_session,C1012_04,10-12,venture_sprint,6,Responsible AI & Trust,33,33,60,0.55,71.9,74.4,82.3,0.909,0.091,0.121,0.091
cohort_session,C1012_04,10-12,venture_sprint,7,Pitch Deck Sprint,34,34,60,0.567,69.1,72.2,83.2,1.0,0.176,0.029,0.0
cohort_session,C1012_04,10-12,venture_sprint,8,Investor Demo Day,39,39,60,0.65,71.0,73.1,82.9,0.949,0.205,0.077,0.103
cohort_session,C1012_05,10-12,venture_sprint,1,Choose a Problem Worth Solving,40,40,60,0.667,63.2,65.8,75.5,0.775,0.225,0.35,0.3
cohort_session,C1012_05,10-12,venture_sprint,2,Value Proposition + Risks,48,48,60,0.8,64.2,68.1,80.3,0.917,0.25,0.167,0.167
cohort_session,C1012_05,10-12,venture_sprint,3,Prototype + Test Fast,38,38,60,0.633,65.4,67.7,80.0,0.895,0.132,0.184,0.211
cohort_session,C1012_05,10-12,venture_sprint,4,Metrics + Experiments,30,30,60,0.5,64.2,68.0,82.1,1.0,0.2,0.167,0.067
cohort_session,C1012_05,10-12,venture_sprint,5,Business Model Basics,38,38,60,0.633,68.7,70.1,81.3,0.895,0.395,0.237,0.263
cohort_session,C1012_05,10-12,venture_sprint,6,Responsible AI & Trust,35,35,60,0.583,69.5,71.8,81.8,0.943,0.143,0.086,0.086
cohort_session,C1012_05,10-12,venture_sprint,7,Pitch Deck Sprint,37,37,60,0.617,71.3,72.6,82.3,0.946,0.324,0.081,0.135
cohort_session,C1012_05,10-12,venture_sprint,8,Investor Demo Day,34,34,60,0.567,70.9,72.7,83.2,0.941,0.088,0.118,0.147
cohort_session,C1012_06,10-12,venture_sprint,1,Choose a Problem Worth Solving,40,40,60,0.667,61.7,64.0,81.0,0.95,0.3,0.25,0.125
