cohort_id,grade_band,age_range,stage_label,unit_family,unit_label,delivery_mode,region,support_mix,term,teacher_team,learner_count,ai_access_policy,cohort_split,start_date
C13_01,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,North,balanced_mix,2026_Spring,Ms/Mr Patel + Lopez,60,teacher_led_only,train,2026-02-02
C13_02,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,South,language_scaffold_mix,2026_Fall,Ms/Mr Smith + Brown,60,teacher_led_only,train,2026-02-09
C13_03,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,in_person,East,audio_flexible_mix,2026_Spring,Ms/Mr Kim + Davis,60,teacher_led_only,train,2026-02-16
C13_04,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,West,extended_time_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,teacher_led_only,train,2026-02-23
C13_05,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,in_person,Central,visual_support_mix,2026_Spring,Ms/Mr Ali + Chen,60,teacher_led_only,train,2026-03-02
C13_06,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,Coastal,balanced_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,teacher_led_only,train,2026-03-09
C13_07,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,in_person,North,language_scaffold_mix,2026_Spring,Ms/Mr Patel + Lopez,60,teacher_led_only,train,2026-03-16
C13_08,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,in_person,South,audio_flexible_mix,2026_Fall,Ms/Mr Smith + Brown,60,teacher_led_only,train,2026-03-23
C13_09,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,East,extended_time_mix,2026_Spring,Ms/Mr Kim + Davis,60,teacher_led_only,val,2026-03-30
C13_10,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,West,visual_support_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,teacher_led_only,val,2026-04-06
C13_11,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,blended,Central,balanced_mix,2026_Spring,Ms/Mr Ali + Chen,60,teacher_led_only,test,2026-04-13
C13_12,1-3,6-8,Discoverers,helpful_invention_studio,My Helpful Invention Studio,in_person,Coastal,language_scaffold_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,teacher_led_only,test,2026-04-20
C46_01,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,North,balanced_mix,2026_Spring,Ms/Mr Patel + Lopez,60,optional_with_checkpoints,train,2026-02-02
C46_02,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,blended,South,language_scaffold_mix,2026_Fall,Ms/Mr Smith + Brown,60,optional_with_checkpoints,train,2026-02-09
C46_03,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,blended,East,audio_flexible_mix,2026_Spring,Ms/Mr Kim + Davis,60,optional_with_checkpoints,train,2026-02-16
C46_04,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,blended,West,extended_time_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,optional_with_checkpoints,train,2026-02-23
C46_05,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,blended,Central,visual_support_mix,2026_Spring,Ms/Mr Ali + Chen,60,optional_with_checkpoints,train,2026-03-02
C46_06,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,Coastal,balanced_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,optional_with_checkpoints,train,2026-03-09
C46_07,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,North,language_scaffold_mix,2026_Spring,Ms/Mr Patel + Lopez,60,optional_with_checkpoints,train,2026-03-16
C46_08,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,South,audio_flexible_mix,2026_Fall,Ms/Mr Smith + Brown,60,optional_with_checkpoints,train,2026-03-23
C46_09,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,East,extended_time_mix,2026_Spring,Ms/Mr Kim + Davis,60,optional_with_checkpoints,val,2026-03-30
C46_10,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,blended,West,visual_support_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,optional_with_checkpoints,val,2026-04-06
C46_11,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,Central,balanced_mix,2026_Spring,Ms/Mr Ali + Chen,60,optional_with_checkpoints,test,2026-04-13
C46_12,4-6,9-11,Builders,eco_smart_design_lab,Eco-Smart City Lab,in_person,Coastal,language_scaffold_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,optional_with_checkpoints,test,2026-04-20
C79_01,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,blended,North,balanced_mix,2026_Spring,Ms/Mr Patel + Lopez,60,supervised_choice,train,2026-02-02
C79_02,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,blended,South,language_scaffold_mix,2026_Fall,Ms/Mr Smith + Brown,60,supervised_choice,train,2026-02-09
C79_03,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,East,audio_flexible_mix,2026_Spring,Ms/Mr Kim + Davis,60,supervised_choice,train,2026-02-16
C79_04,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,West,extended_time_mix,2026_Fall,Ms/Mr Johnson + Garcia,60,supervised_choice,train,2026-02-23
C79_05,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,Central,visual_support_mix,2026_Spring,Ms/Mr Ali + Chen,60,supervised_choice,train,2026-03-02
C79_06,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,Coastal,balanced_mix,2026_Fall,Ms/Mr Rivera + Nguyen,60,supervised_choice,train,2026-03-09
C79_07,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,North,language_scaffold_mix,2026_Spring,Ms/Mr Patel + Lopez,60,supervised_choice,train,2026-03-16
C79_08,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,South,audio_flexible_mix,2026_Fall,Ms/Mr Smith + Brown,60,supervised_choice,train,2026-03-23
C79_09,7-9,12-14,Explorers,ai_media_detective_lab,AI Media Detective Lab,in_person,East,extended_time_mix,2026_Spring,Ms/Mr Kim + Davis,60,supervised_choice,val,2026-03-30
