feedback_id,record_id,learner_id,cohort_id,session_id,feedback_focus,peer_feedback,revision_requested,feedback_ts
PF_core_L13_01_001_03_01,core_L13_01_001_03_01,L13_01_001,C13_01,S_C13_01_03,clarity,Show the limitation earlier so the claim feels more honest.,False,2026-02-16T11:52:00
PF_core_L13_01_001_05_02,core_L13_01_001_05_02,L13_01_001,C13_01,S_C13_01_05,limitations,Your idea is clear; add the strongest evidence first.,False,2026-03-02T10:07:00
PF_core_L13_01_001_06_03,core_L13_01_001_06_03,L13_01_001,C13_01,S_C13_01_06,user_focus,Explain why that revision came before the others.,False,2026-03-09T09:07:00
PF_core_L13_01_001_08_05,core_L13_01_001_08_05,L13_01_001,C13_01,S_C13_01_08,user_focus,Your idea is clear; add the strongest evidence first.,False,2026-03-23T09:30:00
PF_core_L13_01_002_03_03,core_L13_01_002_03_03,L13_01_002,C13_01,S_C13_01_03,limitations,Explain one step more clearly.,False,2026-02-16T13:34:00
PF_core_L13_01_002_06_04,core_L13_01_002_06_04,L13_01_002,C13_01,S_C13_01_06,clarity,Show which part changed after feedback.,True,2026-03-09T13:21:00
PF_core_L13_01_003_01_01,core_L13_01_003_01_01,L13_01_003,C13_01,S_C13_01_01,revision,Say who this helps.,True,2026-02-02T11:05:00
PF_core_L13_01_003_03_03,core_L13_01_003_03_03,L13_01_003,C13_01,S_C13_01_03,user_focus,Show which part changed after feedback.,True,2026-02-16T14:13:00
PF_core_L13_01_003_06_04,core_L13_01_003_06_04,L13_01_003,C13_01,S_C13_01_06,evidence,Show the evidence you used.,True,2026-03-09T14:44:00
PF_core_L13_01_003_08_05,core_L13_01_003_08_05,L13_01_003,C13_01,S_C13_01_08,user_focus,Point to the evidence behind that claim.,False,2026-03-23T08:43:00
PF_core_L13_01_004_01_01,core_L13_01_004_01_01,L13_01_004,C13_01,S_C13_01_01,evidence,Show which part changed after feedback.,True,2026-02-02T09:06:00
PF_core_L13_01_004_04_03,core_L13_01_004_04_03,L13_01_004,C13_01,S_C13_01_04,limitations,Explain one step more clearly.,False,2026-02-23T12:14:00
PF_core_L13_01_004_07_05,core_L13_01_004_07_05,L13_01_004,C13_01,S_C13_01_07,clarity,Explain one step more clearly.,False,2026-03-16T13:37:00
PF_core_L13_01_005_01_01,core_L13_01_005_01_01,L13_01_005,C13_01,S_C13_01_01,evidence,Say who this helps.,True,2026-02-02T09:48:00
PF_core_L13_01_005_03_03,core_L13_01_005_03_03,L13_01_005,C13_01,S_C13_01_03,safety,Show which part changed after feedback.,True,2026-02-16T14:28:00
PF_core_L13_01_005_07_04,core_L13_01_005_07_04,L13_01_005,C13_01,S_C13_01_07,user_focus,Explain one step more clearly.,False,2026-03-16T09:52:00
PF_core_L13_01_006_03_02,core_L13_01_006_03_02,L13_01_006,C13_01,S_C13_01_03,user_focus,Your idea is clear; add the strongest evidence first.,False,2026-02-16T12:54:00
PF_core_L13_01_006_04_03,core_L13_01_006_04_03,L13_01_006,C13_01,S_C13_01_04,evidence,Your idea is clear; add the strongest evidence first.,True,2026-02-23T08:53:00
PF_core_L13_01_006_06_04,core_L13_01_006_06_04,L13_01_006,C13_01,S_C13_01_06,revision,Explain why that revision came before the others.,False,2026-03-09T11:48:00
