learner_id,cohort_id,grade_band,age_range,stage_label,support_profile,expression_mode_preference,device_access,language_support,accommodation_flag,attendance_band,confidence_profile,trajectory_type,spelling_noise_level
L13_01_001,C13_01,1-3,6-8,Discoverers,audio_reflection,oral,laptop_priority,moderate,audio_support,steady,overconfident,variable_growth,low
L13_01_002,C13_01,1-3,6-8,Discoverers,audio_reflection,drawing,laptop_priority,light,organization_support,mixed,confident,late_bloom,medium
L13_01_003,C13_01,1-3,6-8,Discoverers,chunked_steps,oral,1to1_device,light,visual_support,irregular,confident,variable_growth,low
L13_01_004,C13_01,1-3,6-8,Discoverers,audio_reflection,drawing,tablet_mix,none,organization_support,mixed,confident,needs_structure,high
L13_01_005,C13_01,1-3,6-8,Discoverers,audio_reflection,drawing,1to1_device,moderate,organization_support,irregular,cautious,needs_structure,low
L13_01_006,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,shared_device,moderate,extended_time,steady,balanced,steady_growth,medium
L13_01_007,C13_01,1-3,6-8,Discoverers,precut_materials,mixed,tablet_mix,moderate,none,mostly_steady,overconfident,needs_structure,low
L13_01_008,C13_01,1-3,6-8,Discoverers,picture_word_bank,oral,laptop_priority,light,visual_support,irregular,cautious,high_stable,high
L13_01_009,C13_01,1-3,6-8,Discoverers,audio_reflection,oral,laptop_priority,light,extended_time,steady,cautious,steady_growth,low
L13_01_010,C13_01,1-3,6-8,Discoverers,precut_materials,drawing,shared_device,none,audio_support,mixed,cautious,steady_growth,low
L13_01_011,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,organization_support,mixed,overconfident,high_stable,medium
L13_01_012,C13_01,1-3,6-8,Discoverers,audio_reflection,drawing,shared_device,none,none,steady,balanced,late_bloom,low
L13_01_013,C13_01,1-3,6-8,Discoverers,picture_word_bank,mixed,tablet_mix,none,none,mixed,balanced,late_bloom,low
L13_01_014,C13_01,1-3,6-8,Discoverers,general,mixed,tablet_mix,none,audio_support,mostly_steady,overconfident,steady_growth,medium
L13_01_015,C13_01,1-3,6-8,Discoverers,picture_word_bank,mixed,shared_device,none,none,mixed,confident,late_bloom,medium
L13_01_016,C13_01,1-3,6-8,Discoverers,general,drawing,tablet_mix,none,extended_time,mixed,overconfident,needs_structure,low
L13_01_017,C13_01,1-3,6-8,Discoverers,general,mixed,tablet_mix,none,extended_time,mostly_steady,cautious,variable_growth,medium
L13_01_018,C13_01,1-3,6-8,Discoverers,picture_word_bank,drawing,laptop_priority,light,organization_support,mostly_steady,overconfident,high_stable,high
L13_01_019,C13_01,1-3,6-8,Discoverers,audio_reflection,drawing,tablet_mix,moderate,none,mixed,confident,steady_growth,low
