record_id,dataset_partition,recommended_split,data_source,synthetic_method,grade_band,age_range,unit_family,unit_label,session_index,session_title,session_type,task_family,prompt_text,learner_response,artifact_summary,teacher_observation,peer_feedback,checkpoint_result,proof_of_work_present,proof_of_work_type,ai_used,ai_mode,ai_prompt,ai_suggestion_summary,learner_change_summary,confidence_self_rating,mastery,evidence_use,metacognition,independence,integrity_risk,safety_awareness,collaboration_signal,needs_followup,source_weight,eligible_for_training,eligible_for_eval,curriculum_anchor,scenario_tag,challenge_pattern,qc_pass,qc_notes
boo_13_00001,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I tested it and it was okay.,"Teacher checklist note, tester smile/frown note, and a simple prototype for water bottle spills in backpacks.",Student could point to the changed part of the prototype.,I like that it helps quickly.,pass_with_support,True,drawing_or_photo,False,none,,,,1,novice,weak,weak,medium,low,developing,developing,True,0.2,True,False,checkpoint_show_work,authentic_build,,True,
boo_13_00002,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"One labeled photo, voice reflection clip, and a simple prototype for headphones get tangled.",Student used feedback after a peer test.,Maybe make the handle bigger.,pass,True,drawing_or_photo,False,none,,,,4,advanced,strong,developing,high,low,developing,strong,False,0.2,True,False,retrieval_explain_back,authentic_build,,True,
boo_13_00003,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a prototype sketch and a tester smile/frown note. They show what I made and how I tested it.,"Prototype sketch, tester smile/frown note, and a simple prototype for lunch trays slip when kids walk.",Student needed one prompt to explain who the invention helps.,Try a stronger tape next time.,pass,True,drawing_or_photo,False,none,,,,4,proficient,strong,developing,high,low,developing,strong,False,0.2,True,False,checkpoint_show_work,authentic_build,,True,
boo_13_00004,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,8,Celebrate and Reflect,artifact,show_and_tell,"Say what you made, who it helps, and why.",I made a thing to help.,"Drawing sequence, one labeled photo, and a simple prototype for markers dry out when caps get lost.",Student needed one prompt to explain who the invention helps.,Can you show where the problem happens?,pass_with_support,True,drawing_or_photo,False,none,,,,1,novice,developing,developing,high,low,developing,strong,True,0.2,True,False,retrieval_explain_back,feedback_iteration,,True,
boo_13_00005,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,teacher_obs,teacher_observation_bundle,What did the student do during build time and testing?,"Student named the user, pointed to the prototype, and explained one change after testing.","Voice reflection clip, teacher checklist note, and a simple prototype for library books are hard to carry.",Student needed one prompt to explain who the invention helps.,It looks helpful for younger kids too.,pass_with_support,True,drawing_or_photo,False,none,,,,2,developing,weak,developing,medium,low,developing,strong,False,0.2,True,False,retrieval_explain_back,feedback_iteration,,True,
boo_13_00006,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",retrieval,problem_identification,What problem are you trying to solve and who does it help?,I want to help friends because lunch trays slip when kids walk in the cafeteria. My idea is a small fix that is easy to use.,No retained artifact; student description only.,Student repeated a polished sentence but could not show the matching work sample.,Can you show where the problem happens?,not_yet,False,missing,False,none,,,,4,proficient,weak,weak,low,high,weak,strong,True,0.2,True,False,portfolio_artifact,test_note,,True,
boo_13_00007,bootstrap,validation,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,3,Build a First Prototype,checkpoint,prototype_test_note,How did you test your invention today?,I tested it by asking one classmate to try it and the plant marker stayed up after we watered the soil. That helped me see what to change.,"Prototype sketch, voice reflection clip, and a simple prototype for library books are hard to carry.",Student spoke clearly during share-out.,I like that it helps quickly.,pass,True,drawing_or_photo,False,none,,,,4,proficient,strong,developing,high,low,developing,strong,False,0.2,True,False,portfolio_artifact,test_note,,True,
boo_13_00008,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,7,Prepare a Showcase,reflection,improvement_reflection,"What worked, and what will you change next time?",It worked a little. Next time I will change one part so it is easier to use.,"Teacher checklist note, drawing sequence, and a simple prototype for water bottle spills in backpacks.",Student could point to the changed part of the prototype.,I like that it helps quickly.,pass,True,drawing_or_photo,False,none,,,,4,advanced,strong,developing,high,low,developing,strong,False,0.2,True,False,reflection_next_step,feedback_iteration,,True,
boo_13_00009,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,checkpoint,checkpoint_evidence,Show one piece of work that proves what you tried.,I have a teacher checklist note and a prototype sketch They show what I made and how I tested it.,"Teacher checklist note, prototype sketch, and a simple prototype for markers dry out when caps get lost.",Student needed one prompt to explain who the invention helps.,It looks helpful for younger kids too.,pass_with_support,True,drawing_or_photo,False,none,,,,1,novice,developing,strong,high,low,developing,strong,True,0.2,True,False,reflection_next_step,feedback_iteration,,True,
boo_13_00010,bootstrap,train,synthetic,rubric_template_v1,1-3,6-8,helpful_invention_studio,My Helpful Invention Studio,5,Add Story and Demo,artifact,show_and_tell,"Say what you made, who it helps, and why.",We made a helper for students. It fixes pencils roll off desks because it keeps the hard part from happening.,"Drawing sequence, voice reflection clip, and a simple prototype for pencils roll off desks.",Student spoke clearly during share-out.,Try a stronger tape next time.,pass,True,drawing_or_photo,False,none,,,,4,proficient,strong,developing,high,low,developing,strong,False,0.2,True,False,checkpoint_show_work,feedback_iteration,,True,
