mission_id,session_id,mission_number,mission_title,mission_description,mission_type,estimated_minutes,requires_submission,submission_type,ai_allowed,status
C-01-03-HELPFUL-INVENTION-S01-M01,C-01-03-HELPFUL-INVENTION-S01,1,Warm‑Up Retrieval,Quick recall + explain‑it‑back to activate prior knowledge.,warmup,7,no,,yes,active
C-01-03-HELPFUL-INVENTION-S01-M02,C-01-03-HELPFUL-INVENTION-S01,2,Micro‑Skill,"Learn one targeted skill with a worked example, then try it.",microskill,10,no,,yes,active
C-01-03-HELPFUL-INVENTION-S01-M03,C-01-03-HELPFUL-INVENTION-S01,3,Build Sprint,Hands‑on build time with team roles (Facilitator/Builder/Tester/Reporter).,build,25,no,,yes,active
C-01-03-HELPFUL-INVENTION-S01-M04,C-01-03-HELPFUL-INVENTION-S01,4,Checkpoint,Submit evidence (photo/screenshot + 1–2 sentences).,checkpoint,5,yes,photo_or_file,yes,active
C-01-03-HELPFUL-INVENTION-S01-M05,C-01-03-HELPFUL-INVENTION-S01,5,Share‑Out,Short share + peer feedback using a sentence frame.,shareout,8,no,,yes,active
C-01-03-HELPFUL-INVENTION-S01-M06,C-01-03-HELPFUL-INVENTION-S01,6,Reflection + Next Step,"Reflect: one learning, one struggle, one next step.",reflection,5,yes,text_or_audio,yes,active
C-01-03-HELPFUL-INVENTION-S02-M01,C-01-03-HELPFUL-INVENTION-S02,1,Warm‑Up Retrieval,Quick recall + explain‑it‑back to activate prior knowledge.,warmup,7,no,,yes,active
C-01-03-HELPFUL-INVENTION-S02-M02,C-01-03-HELPFUL-INVENTION-S02,2,Micro‑Skill,"Learn one targeted skill with a worked example, then try it.",microskill,10,no,,yes,active
C-01-03-HELPFUL-INVENTION-S02-M03,C-01-03-HELPFUL-INVENTION-S02,3,Build Sprint,Hands‑on build time with team roles (Facilitator/Builder/Tester/Reporter).,build,25,no,,yes,active
C-01-03-HELPFUL-INVENTION-S02-M04,C-01-03-HELPFUL-INVENTION-S02,4,Checkpoint,Submit evidence (photo/screenshot + 1–2 sentences).,checkpoint,5,yes,photo_or_file,yes,active
