session_id,cohort_id,grade_band,unit_family,unit_label,session_index,session_title,planned_objective,scheduled_date,duration_min,delivery_mode
S_C13_01_01,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-02-02,60,blended
S_C13_01_02,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-02-09,60,blended
S_C13_01_03,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-02-16,60,blended
S_C13_01_04,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-02-23,60,blended
S_C13_01_05,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-03-02,60,blended
S_C13_01_06,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-03-09,60,blended
S_C13_01_07,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-03-16,60,blended
S_C13_01_08,C13_01,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-03-23,60,blended
S_C13_02_01,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-02-09,60,blended
S_C13_02_02,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-02-16,60,blended
S_C13_02_03,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-02-23,60,blended
S_C13_02_04,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-03-02,60,blended
S_C13_02_05,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-03-09,60,blended
S_C13_02_06,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-03-16,60,blended
S_C13_02_07,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-03-23,60,blended
S_C13_02_08,C13_02,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-03-30,60,blended
S_C13_03_01,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-02-16,60,in_person
S_C13_03_02,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-02-23,60,in_person
S_C13_03_03,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-03-02,60,in_person
S_C13_03_04,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-03-09,60,in_person
S_C13_03_05,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-03-16,60,in_person
S_C13_03_06,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-03-23,60,in_person
S_C13_03_07,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-03-30,60,in_person
S_C13_03_08,C13_03,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-04-06,60,in_person
S_C13_04_01,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-02-23,60,blended
S_C13_04_02,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-03-02,60,blended
S_C13_04_03,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-03-09,60,blended
S_C13_04_04,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-03-16,60,blended
S_C13_04_05,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-03-23,60,blended
S_C13_04_06,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-03-30,60,blended
S_C13_04_07,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-04-06,60,blended
S_C13_04_08,C13_04,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-04-13,60,blended
S_C13_05_01,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-03-02,60,in_person
S_C13_05_02,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-03-09,60,in_person
S_C13_05_03,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-03-16,60,in_person
S_C13_05_04,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-03-23,60,in_person
S_C13_05_05,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-03-30,60,in_person
S_C13_05_06,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-04-06,60,in_person
S_C13_05_07,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-04-13,60,in_person
S_C13_05_08,C13_05,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-04-20,60,in_person
S_C13_06_01,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-03-09,60,blended
S_C13_06_02,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-03-16,60,blended
S_C13_06_03,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-03-23,60,blended
S_C13_06_04,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-03-30,60,blended
S_C13_06_05,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-04-06,60,blended
S_C13_06_06,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-04-13,60,blended
S_C13_06_07,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-04-20,60,blended
S_C13_06_08,C13_06,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-04-27,60,blended
S_C13_07_01,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-03-16,60,in_person
S_C13_07_02,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-03-23,60,in_person
S_C13_07_03,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-03-30,60,in_person
S_C13_07_04,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-04-06,60,in_person
S_C13_07_05,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-04-13,60,in_person
S_C13_07_06,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-04-20,60,in_person
S_C13_07_07,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-04-27,60,in_person
S_C13_07_08,C13_07,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-05-04,60,in_person
S_C13_08_01,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-03-23,60,in_person
S_C13_08_02,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-03-30,60,in_person
S_C13_08_03,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-04-06,60,in_person
S_C13_08_04,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-04-13,60,in_person
S_C13_08_05,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-04-20,60,in_person
S_C13_08_06,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-04-27,60,in_person
S_C13_08_07,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-05-04,60,in_person
S_C13_08_08,C13_08,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-05-11,60,in_person
S_C13_09_01,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-03-30,60,blended
S_C13_09_02,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-04-06,60,blended
S_C13_09_03,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-04-13,60,blended
S_C13_09_04,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-04-20,60,blended
S_C13_09_05,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-04-27,60,blended
S_C13_09_06,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-05-04,60,blended
S_C13_09_07,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,7,Rehearse & Improve,"Rehearse, refine, and prepare for showcasing.",2026-05-11,60,blended
S_C13_09_08,C13_09,1-3,helpful_invention_studio,My Helpful Invention Studio,8,Showcase Day,Share the final invention and reflect on learning.,2026-05-18,60,blended
S_C13_10_01,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,1,"Notice Problems, Pick One",Identify a real user problem and choose a helpful invention idea.,2026-04-06,60,blended
S_C13_10_02,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,2,Make a Plan,Sketch a plan and sequence simple steps for a prototype.,2026-04-13,60,blended
S_C13_10_03,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,3,Build Prototype v1,Build a first prototype and test a simple feature.,2026-04-20,60,blended
S_C13_10_04,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,4,Make It Better,Use feedback to improve the prototype.,2026-04-27,60,blended
S_C13_10_05,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,5,Add a Story + Demo,Create a story and demo that explains the invention.,2026-05-04,60,blended
S_C13_10_06,C13_10,1-3,helpful_invention_studio,My Helpful Invention Studio,6,Optional Coding Boost,Try a simple coding or logic boost to extend the idea.,2026-05-11,60,blended
