artifact_id,record_id,learner_id,cohort_id,session_id,unit_family,artifact_type,artifact_summary,version_count,word_count_est,image_count_est,code_or_logic_steps_est,created_ts
ART_core_L13_01_001_03_01,core_L13_01_001_03_01,L13_01_001,C13_01,S_C13_01_03,helpful_invention_studio,journal_page,"journal page naming the partner and the problem, plus one test note",3,34,0,0,2026-02-16T11:20:00
ART_core_L13_01_001_05_02,core_L13_01_001_05_02,L13_01_001,C13_01,S_C13_01_05,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the computer station,2,17,0,0,2026-03-02T09:33:00
ART_core_L13_01_001_06_03,core_L13_01_001_06_03,L13_01_001,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for headphones get tangled in the computer station,3,31,1,0,2026-03-09T09:00:00
ART_core_L13_01_001_07_04,core_L13_01_001_07_04,L13_01_001,C13_01,S_C13_01_07,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing headphones get tangled,1,25,1,0,2026-03-16T12:17:00
ART_core_L13_01_001_08_05,core_L13_01_001_08_05,L13_01_001,C13_01,S_C13_01_08,helpful_invention_studio,journal_page,"journal page naming the partner and the problem, plus one test note",1,18,0,0,2026-03-23T09:13:00
ART_core_L13_01_002_01_01,core_L13_01_002_01_01,L13_01_002,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,1,8,1,0,2026-02-02T13:56:00
ART_core_L13_01_002_02_02,core_L13_01_002_02_02,L13_01_002,C13_01,S_C13_01_02,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,20,1,0,2026-02-09T09:18:00
ART_core_L13_01_002_03_03,core_L13_01_002_03_03,L13_01_002,C13_01,S_C13_01_03,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,1,26,1,0,2026-02-16T13:09:00
ART_core_L13_01_002_06_04,core_L13_01_002_06_04,L13_01_002,C13_01,S_C13_01_06,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,3,28,1,3,2026-03-09T12:42:00
ART_core_L13_01_002_08_05,core_L13_01_002_08_05,L13_01_002,C13_01,S_C13_01_08,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,1,33,1,0,2026-03-23T12:05:00
ART_core_L13_01_003_01_01,core_L13_01_003_01_01,L13_01_003,C13_01,S_C13_01_01,helpful_invention_studio,journal_page,"journal page naming the younger student and the problem, plus one test note",1,8,0,0,2026-02-02T10:54:00
ART_core_L13_01_003_02_02,core_L13_01_003_02_02,L13_01_003,C13_01,S_C13_01_02,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,3,17,0,0,2026-02-09T14:38:00
ART_core_L13_01_003_03_03,core_L13_01_003_03_03,L13_01_003,C13_01,S_C13_01_03,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,2,21,0,0,2026-02-16T14:10:00
ART_core_L13_01_003_06_04,core_L13_01_003_06_04,L13_01_003,C13_01,S_C13_01_06,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the cafeteria,1,18,0,0,2026-03-09T14:04:00
ART_core_L13_01_003_08_05,core_L13_01_003_08_05,L13_01_003,C13_01,S_C13_01_08,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing lunch box is hard to open,2,16,1,0,2026-03-23T08:22:00
ART_core_L13_01_004_01_01,core_L13_01_004_01_01,L13_01_004,C13_01,S_C13_01_01,helpful_invention_studio,prototype_photo,prototype photo with one labeled part aimed at fixing plants are forgotten,3,17,1,0,2026-02-02T08:46:00
ART_core_L13_01_004_02_02,core_L13_01_004_02_02,L13_01_004,C13_01,S_C13_01_02,helpful_invention_studio,drawing_or_photo,drawing/photo evidence showing a prototype for plants are forgotten in the window garden,2,20,1,0,2026-02-09T08:18:00
ART_core_L13_01_004_04_03,core_L13_01_004_04_03,L13_01_004,C13_01,S_C13_01_04,helpful_invention_studio,demo_video,short demo clip showing how the invention helps in the window garden,1,13,0,0,2026-02-23T11:46:00
ART_core_L13_01_004_06_04,core_L13_01_004_06_04,L13_01_004,C13_01,S_C13_01_06,helpful_invention_studio,journal_page,"journal page naming the class and the problem, plus one test note",2,15,0,0,2026-03-09T09:09:00
