dimension,label,score_value
mastery,novice,35
mastery,developing,58
mastery,proficient,78
mastery,advanced,92
evidence_use,weak,35
evidence_use,developing,60
evidence_use,strong,85
metacognition,weak,35
metacognition,developing,60
metacognition,strong,85
independence,low,40
independence,medium,65
independence,high,85
integrity_risk_to_integrity_score,high,28
integrity_risk_to_integrity_score,medium,58
integrity_risk_to_integrity_score,low,86
safety_awareness,weak,35
safety_awareness,developing,60
safety_awareness,strong,85
collaboration_signal,needs_structure,40
collaboration_signal,participates,65
collaboration_signal,leads,85
