mission_plan_id,mission_id,tier,udl_supports,success_criteria
MP-B-C-01-03-HELPFUL-INVENTION-S01-M01,C-01-03-HELPFUL-INVENTION-S01-M01,Bronze,audio_option;visual_aids;chunking,Complete mission and provide evidence. More scaffolds + sentence frames.
MP-S-C-01-03-HELPFUL-INVENTION-S01-M01,C-01-03-HELPFUL-INVENTION-S01-M01,Silver,audio_option;visual_aids;chunking,"Complete mission and provide evidence. Standard supports, peer feedback."
MP-G-C-01-03-HELPFUL-INVENTION-S01-M01,C-01-03-HELPFUL-INVENTION-S01-M01,Gold,audio_option;visual_aids;chunking,Complete mission and provide evidence. Extension: add a constraint or deeper analysis.
MP-B-C-01-03-HELPFUL-INVENTION-S01-M02,C-01-03-HELPFUL-INVENTION-S01-M02,Bronze,audio_option;visual_aids;chunking,Complete mission and provide evidence. More scaffolds + sentence frames.
MP-S-C-01-03-HELPFUL-INVENTION-S01-M02,C-01-03-HELPFUL-INVENTION-S01-M02,Silver,audio_option;visual_aids;chunking,"Complete mission and provide evidence. Standard supports, peer feedback."
MP-G-C-01-03-HELPFUL-INVENTION-S01-M02,C-01-03-HELPFUL-INVENTION-S01-M02,Gold,audio_option;visual_aids;chunking,Complete mission and provide evidence. Extension: add a constraint or deeper analysis.
MP-B-C-01-03-HELPFUL-INVENTION-S01-M03,C-01-03-HELPFUL-INVENTION-S01-M03,Bronze,audio_option;visual_aids;chunking,Complete mission and provide evidence. More scaffolds + sentence frames.
MP-S-C-01-03-HELPFUL-INVENTION-S01-M03,C-01-03-HELPFUL-INVENTION-S01-M03,Silver,audio_option;visual_aids;chunking,"Complete mission and provide evidence. Standard supports, peer feedback."
MP-G-C-01-03-HELPFUL-INVENTION-S01-M03,C-01-03-HELPFUL-INVENTION-S01-M03,Gold,audio_option;visual_aids;chunking,Complete mission and provide evidence. Extension: add a constraint or deeper analysis.
MP-B-C-01-03-HELPFUL-INVENTION-S01-M04,C-01-03-HELPFUL-INVENTION-S01-M04,Bronze,audio_option;visual_aids;chunking,Complete mission and provide evidence. More scaffolds + sentence frames.
MP-S-C-01-03-HELPFUL-INVENTION-S01-M04,C-01-03-HELPFUL-INVENTION-S01-M04,Silver,audio_option;visual_aids;chunking,"Complete mission and provide evidence. Standard supports, peer feedback."
MP-G-C-01-03-HELPFUL-INVENTION-S01-M04,C-01-03-HELPFUL-INVENTION-S01-M04,Gold,audio_option;visual_aids;chunking,Complete mission and provide evidence. Extension: add a constraint or deeper analysis.
MP-B-C-01-03-HELPFUL-INVENTION-S01-M05,C-01-03-HELPFUL-INVENTION-S01-M05,Bronze,audio_option;visual_aids;chunking,Complete mission and provide evidence. More scaffolds + sentence frames.
